Sat May 13 15:13:24 2017, Clear
Sat May 13 16:13:28 2017, Clear
Sat May 13 17:13:33 2017, Clear
Sat May 13 18:13:38 2017, Clear
Sat May 13 19:13:42 2017, Clear
Sat May 13 20:13:47 2017, Partly Cloudy
Sat May 13 21:13:52 2017, Partly Cloudy
Sat May 13 22:13:56 2017, Partly Cloudy
Sat May 13 23:14:01 2017, Partly Cloudy
Sun May 14 00:14:06 2017, Thunderstorm
Sun May 14 01:14:10 2017, Thunderstorm
Sun May 14 02:14:15 2017, Thunderstorm
Sun May 14 03:14:19 2017, Thunderstorm
Sun May 14 04:14:24 2017, Mostly Cloudy
Sun May 14 05:14:29 2017, Partly Cloudy
Sun May 14 06:14:33 2017, Partly Cloudy
Sun May 14 07:14:38 2017, Partly Cloudy
Sun May 14 08:14:42 2017, Partly Cloudy
Sun May 14 09:14:47 2017, Partly Cloudy
Sun May 14 10:14:52 2017, Partly Cloudy
Sun May 14 11:14:57 2017, Partly Cloudy
Sun May 14 12:15:01 2017, Thunderstorm
Sun May 14 13:15:06 2017, Thunderstorm
Sun May 14 14:15:11 2017, Thunderstorm
Sun May 14 15:15:16 2017, Thunderstorm
Sun May 14 16:15:20 2017, Thunderstorm
Sun May 14 17:15:25 2017, Thunderstorm
Sun May 14 18:15:30 2017, Thunderstorm
Sun May 14 19:15:34 2017, Thunderstorm
Sun May 14 20:15:39 2017, Thunderstorm
Sun May 14 21:15:43 2017, Rain
Sun May 14 22:15:48 2017, Rain
Sun May 14 23:15:53 2017, Rain
Mon May 15 00:15:58 2017, Rain
Mon May 15 01:16:02 2017, Clear
Mon May 15 02:16:07 2017, Clear
Mon May 15 03:16:11 2017, Clear
Mon May 15 04:16:16 2017, Clear
Mon May 15 05:16:20 2017, Clear
Mon May 15 06:16:25 2017, Clear
Mon May 15 07:16:30 2017, Clear
Mon May 15 08:16:34 2017, Clear
Mon May 15 09:16:39 2017, Partly Cloudy
Mon May 15 10:16:43 2017, Partly Cloudy
Mon May 15 11:16:48 2017, Partly Cloudy
Mon May 15 12:16:53 2017, Clear
Mon May 15 13:16:57 2017, Clear
Mon May 15 14:17:02 2017, Clear
Mon May 15 15:17:06 2017, Clear
Mon May 15 16:17:11 2017, Clear
Mon May 15 17:17:16 2017, Clear
Mon May 15 18:17:20 2017, Clear
Mon May 15 19:17:25 2017, Partly Cloudy
Mon May 15 20:17:29 2017, Partly Cloudy
Mon May 15 21:17:34 2017, Partly Cloudy
Mon May 15 22:17:39 2017, Thunderstorm
Mon May 15 23:17:43 2017, Mostly Cloudy
Tue May 16 00:17:48 2017, Mostly Cloudy
Tue May 16 01:17:53 2017, Partly Cloudy
Tue May 16 02:17:58 2017, Mostly Cloudy
Tue May 16 03:18:03 2017, Mostly Cloudy
Tue May 16 04:18:08 2017, Partly Cloudy
Tue May 16 05:18:12 2017, Thunderstorm
Tue May 16 06:18:17 2017, Mostly Cloudy
Tue May 16 07:18:22 2017, Thunderstorm
Tue May 16 08:18:26 2017, Thunderstorm
Tue May 16 09:18:31 2017, Thunderstorm
Tue May 16 10:18:36 2017, Clear
Tue May 16 11:18:40 2017, Partly Cloudy
Tue May 16 12:18:45 2017, Thunderstorm
Tue May 16 13:18:50 2017, Thunderstorm
Tue May 16 14:18:54 2017, Partly Cloudy
Tue May 16 15:18:59 2017, Partly Cloudy
Tue May 16 16:19:03 2017, Partly Cloudy
Tue May 16 17:19:08 2017, Partly Cloudy
Tue May 16 18:19:13 2017, Clear
Tue May 16 19:19:17 2017, Clear
Tue May 16 20:19:22 2017, Clear
Tue May 16 21:19:26 2017, Partly Cloudy
Tue May 16 22:19:31 2017, Partly Cloudy
Tue May 16 23:19:35 2017, Partly Cloudy
Wed May 17 00:19:40 2017, Thunderstorm
Wed May 17 01:19:44 2017, Thunderstorm
Wed May 17 02:19:49 2017, Thunderstorm
Wed May 17 03:19:54 2017, Mostly Cloudy
Wed May 17 04:19:58 2017, Mostly Cloudy
Wed May 17 05:20:03 2017, Rain
Wed May 17 06:20:08 2017, Mostly Cloudy
Wed May 17 07:20:12 2017, Clear
Wed May 17 08:20:17 2017, Clear
Wed May 17 09:20:22 2017, Clear
Wed May 17 10:20:26 2017, Clear
Wed May 17 11:20:31 2017, Clear
Wed May 17 12:20:36 2017, Clear
Wed May 17 13:20:41 2017, Clear
Wed May 17 14:20:45 2017, Clear
Wed May 17 15:20:50 2017, Clear
Wed May 17 16:20:55 2017, Clear
Wed May 17 17:20:59 2017, Clear
Wed May 17 18:21:04 2017, Partly Cloudy
Wed May 17 19:21:09 2017, Mostly Cloudy
Wed May 17 20:21:13 2017, Clear
Wed May 17 21:21:18 2017, Clear
Wed May 17 22:21:23 2017, Clear
Wed May 17 23:21:27 2017, Partly Cloudy
Thu May 18 00:21:32 2017, Partly Cloudy
Thu May 18 01:21:37 2017, Partly Cloudy
Thu May 18 02:21:41 2017, Partly Cloudy
Thu May 18 03:21:46 2017, Partly Cloudy
Thu May 18 04:21:50 2017, Partly Cloudy
Thu May 18 05:21:55 2017, Partly Cloudy
Thu May 18 06:22:00 2017, Partly Cloudy
Thu May 18 07:22:05 2017, Clear
Thu May 18 08:22:09 2017, Partly Cloudy
Thu May 18 09:22:14 2017, Partly Cloudy
Thu May 18 10:22:18 2017, Clear
Thu May 18 11:22:23 2017, Clear
Thu May 18 12:22:28 2017, Clear
Thu May 18 13:22:33 2017, Partly Cloudy
Thu May 18 14:22:37 2017, Partly Cloudy
Thu May 18 15:22:42 2017, Partly Cloudy
Thu May 18 16:22:47 2017, Partly Cloudy
Thu May 18 17:22:51 2017, Partly Cloudy
Thu May 18 18:22:56 2017, Partly Cloudy
Thu May 18 19:23:00 2017, Partly Cloudy
Thu May 18 20:23:05 2017, Partly Cloudy
Thu May 18 21:23:10 2017, Partly Cloudy
Thu May 18 22:23:14 2017, Clear
Thu May 18 23:23:19 2017, Partly Cloudy
Fri May 19 00:23:24 2017, Partly Cloudy
Fri May 19 01:23:28 2017, Partly Cloudy
Fri May 19 02:23:33 2017, Partly Cloudy
Fri May 19 03:23:37 2017, Partly Cloudy
Fri May 19 04:23:42 2017, Partly Cloudy
Fri May 19 05:23:46 2017, Partly Cloudy
Fri May 19 06:23:51 2017, Partly Cloudy
Fri May 19 07:23:56 2017, Partly Cloudy
Fri May 19 08:24:00 2017, Partly Cloudy
Fri May 19 09:24:05 2017, Partly Cloudy
Fri May 19 10:24:10 2017, Partly Cloudy
Fri May 19 11:24:15 2017, Partly Cloudy
Fri May 19 12:24:19 2017, Partly Cloudy
Fri May 19 13:24:24 2017, Partly Cloudy
Fri May 19 14:24:28 2017, Partly Cloudy
Fri May 19 15:24:33 2017, Clear
Fri May 19 16:24:37 2017, Clear
Fri May 19 17:24:42 2017, Clear
Fri May 19 18:24:47 2017, Clear
Fri May 19 19:24:51 2017, Clear
Fri May 19 20:24:56 2017, Clear
Fri May 19 21:25:00 2017, Clear
Fri May 19 22:25:05 2017, Rain
Fri May 19 23:25:09 2017, Partly Cloudy
Sat May 20 00:25:14 2017, Clear
Sat May 20 01:25:19 2017, Partly Cloudy
Sat May 20 02:25:23 2017, Partly Cloudy
Sat May 20 03:25:28 2017, Partly Cloudy
Sat May 20 04:25:33 2017, Partly Cloudy
Sat May 20 05:25:37 2017, Partly Cloudy
Sat May 20 06:25:42 2017, Partly Cloudy
Sat May 20 07:25:47 2017, Partly Cloudy
Sat May 20 08:25:51 2017, Partly Cloudy
Sat May 20 09:25:56 2017, Partly Cloudy
Sat May 20 10:26:00 2017, Partly Cloudy
Sat May 20 11:26:05 2017, Partly Cloudy
Sat May 20 12:26:10 2017, Partly Cloudy
Sat May 20 13:03:44 2017, Partly Cloudy
Sat May 20 13:52:51 2017, Partly Cloudy
Sat May 20 14:53:16 2017, Partly Cloudy
Sat May 20 15:53:21 2017, Clear
Sat May 20 16:53:26 2017, Clear
Sat May 20 17:53:30 2017, Thunderstorm
Sat May 20 18:53:35 2017, Thunderstorm
Sat May 20 19:53:40 2017, Thunderstorm
Sat May 20 20:53:45 2017, Thunderstorm
Sat May 20 21:53:50 2017, Mostly Cloudy
Sat May 20 22:53:54 2017, Mostly Cloudy
Sat May 20 23:25:32 2017, Mostly Cloudy
Sun May 21 00:25:42 2017, Mostly Cloudy
Sun May 21 01:25:49 2017, Partly Cloudy
Sun May 21 02:25:55 2017, Partly Cloudy
Sun May 21 03:26:00 2017, Partly Cloudy
Sun May 21 04:26:05 2017, Clear
Sun May 21 05:26:10 2017, Clear
Sun May 21 06:26:15 2017, Clear
Sun May 21 07:26:21 2017, Clear
Sun May 21 08:26:28 2017, Partly Cloudy
Sun May 21 09:26:38 2017, Partly Cloudy
Sun May 21 10:26:44 2017, Partly Cloudy
Sun May 21 11:26:57 2017, Partly Cloudy
Sun May 21 12:27:03 2017, Thunderstorm
Sun May 21 13:27:20 2017, Partly Cloudy
Sun May 21 14:27:25 2017, Partly Cloudy
Sun May 21 15:27:29 2017, Partly Cloudy
Sun May 21 16:27:34 2017, Partly Cloudy
Sun May 21 17:27:39 2017, Partly Cloudy
Sun May 21 18:27:43 2017, Partly Cloudy
Sun May 21 19:27:48 2017, Clear
Sun May 21 20:27:53 2017, Partly Cloudy
Sun May 21 21:27:58 2017, Partly Cloudy
Sun May 21 22:28:03 2017, Partly Cloudy
Sun May 21 23:28:11 2017, Mostly Cloudy
Mon May 22 00:28:19 2017, Partly Cloudy
Mon May 22 01:28:24 2017, Partly Cloudy
Mon May 22 02:28:29 2017, Mostly Cloudy
Mon May 22 03:28:34 2017, Partly Cloudy
